ID,Sentence1,Sentence2,Class
170,"The US Post Office considers the area an extension of Clermont Harbor , although Waveland and Bay St. Louis lie between .","The US post office considers the area an expansion of Bay St. Louis , although between Waveland and Clermont Harbor .",0
171,"""She was crying and scared,' said Isa Yasin, the owner of the store.","""She was crying and she was really scared,"" said Yasin.
",1
172,The series The Rowohlt Publishing House published a novel by Patrick Niessen .,The series published the Rowohlt publishing house was a novel by Patrick Niessen .,0
173,He has also served on the president's Homeland Security Advisory Council.,"Last year, Bush appointed him to the Homeland Security Advisory Council.
",0
174,In 1969 change was still in the air and T. and R. Smith 's was taken over by J. N. Nichols ( Vimto ) of Manchester .,The change was still in the air in 1969 and T. and J. N. Nichol was taken over by R. Smith ( Vimto ) from Manchester .,0
175,The music was composed by MS Baburaj and the lyrics were written by P. Bhaskaran and Yusufali Kechery .,The music was composed by MS Baburaj and lyrics was written by P. Bhaskaran and Yusufali Kechery .,1
176,"Her other great hit was '' The White Cliffs of Dover `` , words by Walter Kent , music by Nat Burton .","Her other great wartime hit was `` The White Cliffs of Dover '' , words by Nat Burton , music by Walter Kent .",0
177,"The Peabody Orlando , located near Orlando , Florida , was opened in 1986 as the second Peabody Hotel .","The Peabody Hotel , located near Peabody Orlando , was opened in 1986 as the second Orlando , Florida .",0
178,John Carter lost in 6 -- 2 the third round of the UK Championship against John Higgins .,John Higgins lost the third round of the UK Championship against Carter in 6 -- 2 .,0
179,Suncook is located in the western corner of the town of Allenstown and at the southern end of the city of Pembroke .,Suncook is located in the western corner of the town of Allenstown and the southern end of the town of Pembroke .,1
180,"The festival debuted in 2007 and originated in Phoenix , Arizona and has since been held in San Diego , Houston and Zurich .","The festival was founded in 2007 and debuted in Phoenix , Arizona and has been held in San Diego , Houston and Zurich since then .",0
181,"A base configuration with a 2.0GHz Intel Celeron processor, 128M bytes of memory, a 40G-byte hard drive, and a CD-ROM drive costs US$729.","A base configuration with a 2.4GHz Pentium 4, 128MB of RAM, a 40GB hard drive, and a CD-ROM drive costs $699.
",1
182,"Some reports assert `` 30 years or more '' , while others claim `` 50 years or more '' .","Some reports state `` 30 years or more '' , while others claim `` 50 years or more '' .",1
183,"In 1972 , Kaye Ninian Stephen replaced the Supreme Court of Victoria .","In 1972 , Kaye replaced Ninian Stephen on the Supreme Court of Victoria .",0
184,"Rich food sources , as long as they are evaluated as profitable , will be applied for by the scouts when they return to the hive .","As long as they are advertised as profitable , rich food sources will be evaluated by the scouts when they return to the hive .",0
185,"Note that k is a vector consisting of three real numbers with dimensions of inverse length , while pis a vector of operators ; to be explicit ,","It is necessary to note that k is a vector consisting of three inverse numbers with dimensions of real length , while pis a vector of operators ;",0
186,How does someone knows they have social anxiety?,How do I know if I have social anxiety?,1
187,The game was published on 2 October 2014 in Japan and in North America and Europe in June 2015 .,"The game was released in Japan on October 2 , 2014 , and in North America and Europe in June 2015 .",1
188,What are the safety precautions on handling shotguns proposed by the NRA in Arkansas?,What are the safety precautions on handling shotguns proposed by the NRA in Kentucky?,1
189,"Pat Anderson, the attorney representing the parents, Bob and Mary Schindler, declined to comment.","Pat Anderson, the lawyer representing the Schindlers, declined to comment on the filing.
",1
190,"The Antarctic Peninsula is an island group off the west coast of the Wilhelm Archipelago , Antarctica .",The Wilhelm Archipelago is an island group off the west coast of the Antarctic Peninsula in Antarctica .,0
191,"His grandfather , Reverend John Macky , was the first moderator of the Presbyterian General Assembly of New Zealand to marry Edna Graham Allan in Dunedin in 1920 .","His grandfather , Reverend Edna Graham Allan , was the first moderator of the Presbyterian General Assembly of New Zealand . In 1920 Macky married John Macky in Dunedin .",0
192,"Miles Township is bordered by Penn Township to the north , Mifflin County to the east , Union County to the south , and Haines Township to the west .","Miles Miles Township is bordered by Penn Township to the north , Mifflin County to the east , Union County to the South , and Haines Township to the West .",1
193,An Associated Press report is included.,"Material from the Associated Press supplemented this report.
",1
194,"`` Gynacantha rosenbergi '' is larger than `` Gynacantha dobsoni '' , which seems quite similar in many ways .","`` Gynacantha rosenbergi '' is larger than `` Gynacantha dobsoni '' , which in many ways appears quite similar .",1
195,"Ippolita Rostagno was born in Florence on December 10 , 1963 and is the daughter of an American artist and an Italian intellectual .","Born December 10 , 1963 in Florence , Italy , Ippolita Rostagno is the daughter of an American artist and an Italian intellectual .",1
196,"The first thing you learn in racing is to complete a race , first you have to win .","The first thing in racing that you learn is to win a race , first you have to finish .",0
197,Is life worth living?,When do you think that life is worth living? Why?,0
198,"The Sadrist Movement left the alliance prior to the December 2005 elections , which also brought the Iraqi National Congress more firmly into the Alliance .","The Iraqi National Congress left the Alliance before the December 2005 elections , which also brought the Sadrist movement more to the Alliance .",0
199,What headphones <$200 offer the best sound?,What are the best over-the-ear headphones for under Rs 1600?,0
200,"The Zam River ( Hungarian : Zám-patak ) is a historical tributary of the river Mure `` in the right region of Transylvania , Romania .","The Zam River ( Hungarian : Zám-patak ) is a right tributary of the river Mureș in the historical region of Transylvania , Romania .",0
201,"He is generally credited as Tashi Wangchuk Tenzing of Australia , sometimes with a note that he is Tenzing 's grandson .","He is sometimes credited as Tashi Wangchuk Tenzing of Australia , usually with a note that he is Tenzing ’ s grandson .",0
202,"These background areas included the state of California , 4 zones in New York City , Las Vegas NV , and a 300-mile radius around Hawaii .","These background zones included the state of California , 4 zones in New York City , Las Vegas NV , and a 300-mile radius around Hawaii .",1
203,How does a capacitor regulate?,How do capacitors regulate?,1
204,What is the best n safe destination for a 2-3 days vacation with my gf during September?,What is the best vacation holiday place for 10 days?,0
205,"Bradd Crellin represented BARLA Cumbria on a tour of Australia with 6 other players representing Britain , also on a tour of Australia .","Bradd Crellin represented BARLA Great Britain on a tour of Australia with 6 other players representing Cumbria , also on a tour of Australia .",0
206,"Honey bees have three castes : drones , workers and queens , drones are male , workers and queens are women .","Honey bees have three castes : drones , workers , and queens . Drones are female , while workers and queens are male .",0
207,"She also had a supporting role in the film `` Bob Roberts '' , as Dolores Perrigrev in 1992 .",She also had a supporting role in the movie `` Dolores Perrigrew '' 1992 as Bob Roberts .,0
